tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:76: size=480 B, count=1, average=480 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:67: size=432 B, count=1, average=432 B
tracemalloc/.tmp:150: size=144 B, count=1, average=144 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:166: size=63 B, count=1, average=63 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
tracemalloc/.tmp:135: size=1792 B, count=2, average=896 B
tracemalloc/.tmp:140: size=696 B, count=2, average=348 B
tracemalloc/.tmp:171: size=536 B, count=1, average=536 B
tracemalloc/.tmp:157: size=504 B, count=1, average=504 B
tracemalloc/.tmp:154: size=496 B, count=2, average=248 B
tracemalloc/.tmp:172: size=448 B, count=1, average=448 B
tracemalloc/.tmp:158: size=440 B, count=1, average=440 B
tracemalloc/.tmp:146: size=440 B, count=1, average=440 B
tracemalloc/.tmp:155: size=432 B, count=1, average=432 B
tracemalloc/.tmp:166: size=189 B, count=3, average=63 B
tracemalloc/.tmp:150: size=152 B, count=2, average=76 B
tracemalloc/.tmp:127: size=136 B, count=1, average=136 B
tracemalloc/.tmp:96: size=136 B, count=1, average=136 B
tracemalloc/.tmp:66: size=136 B, count=1, average=136 B
tracemalloc/.tmp:37: size=136 B, count=1, average=136 B
tracemalloc/.tmp:32: size=136 B, count=1, average=136 B
tracemalloc/.tmp:163: size=48 B, count=1, average=48 B
tracemalloc/.tmp:144: size=48 B, count=1, average=48 B
